[final] running: /home/armaan/phylogfn/.venv/bin/python -u -m learned_reverse_ips.train --run-name learned_reverse_27taxa_noreplay_b4096_seed1 --cfg src/configs/benchmark_dna_cfgs/discrete_branch_lengths/cfg_0.001binsize_50bins_temperature_anneal_0.4_27taxa_shift12000.yaml --dataset dataset/benchmark_datasets/DS1.pickle --output final/runs/27taxa_noreplay_b4096_seed1/learned_reverse --seed 1 --epochs 25000 --steps-per-epoch 1 --on-policy-batch-size 1024 --replay-batch-size 0 --replay-buffer-size 512 --checkpoint-every 1000 --full-model --outcome-level signature --advantage-reward-mode log_reward --grpo-lr 1e-4 --grpo-entropy-coef 0.0 --grpo-num-iterations 1 --rollout-chunk-size 1024 --print-every 25 --disable-replay --reward-target shifted_linear --reverse-lr 0.001 --reverse-train-epochs 8 --reverse-hidden-size 256 --reverse-num-layers 3 --skip-post-train --reverse-policy mlp --resume-from /home/armaan/phylogfn/final/runs/27taxa_noreplay_b4096_seed1/learned_reverse/20260825_210645_learned_reverse_27taxa_noreplay_b4096_seed1_learned_reverse_ips_grpo --mini-batch-splits 4
cpu_threads=2
/home/armaan/phylogfn/src/gfn/tb_gfn_phylo.py:126: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = torch.cuda.amp.GradScaler()
warning: removing 2484 metrics records newer than committed checkpoint checkpoint_epoch15999.pt
resuming from checkpoint_epoch15999.pt: global_step=64000 mode=on_policy
  continue epochs [16000, 25000)
restored learned-reverse state from learned_reverse_epoch15999.pt
run_dir=/home/armaan/phylogfn/final/runs/27taxa_noreplay_b4096_seed1/learned_reverse/20260825_210645_learned_reverse_27taxa_noreplay_b4096_seed1_learned_reverse_ips_grpo
method=learned_reverse_ips_grpo device=cuda:0 reverse_policy_type=mlp outcome_level=signature reward_target=shifted_linear full_model=True G_on=1024 G_replay=0 G_total=1024 replay_buffer=0
weight=R(x)*q_phi(tau|x)/P_F(tau); reverse update happens after PPO
step=67700 loss=-0.0007 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17312751
step=67725 loss=-0.0023 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17318526
step=67750 loss=0.0003 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17324296
step=67775 loss=0.0001 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17329998
step=67800 loss=-0.0005 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17335728
step=67825 loss=0.0714 reverse_nll=0.0574 ESS=0.933 batch_outcomes=256 batch_topologies=256 seen=17341423
step=67850 loss=0.0280 reverse_nll=0.1738 ESS=0.951 batch_outcomes=256 batch_topologies=256 seen=17346984
step=67875 loss=0.0160 reverse_nll=0.0009 ESS=0.965 batch_outcomes=256 batch_topologies=256 seen=17352659
step=67900 loss=-0.0251 reverse_nll=0.0161 ESS=0.995 batch_outcomes=256 batch_topologies=256 seen=17358344
step=67925 loss=-0.0210 reverse_nll=0.0027 ESS=0.996 batch_outcomes=256 batch_topologies=256 seen=17363984
step=67950 loss=-0.0177 reverse_nll=0.0004 ESS=0.996 batch_outcomes=256 batch_topologies=256 seen=17369630
step=67975 loss=-0.0168 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17375269
step=68000 loss=-0.0142 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17380894
step=68025 loss=-0.0131 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17386564
step=68050 loss=-0.0105 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17392198
step=68075 loss=-0.0094 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17397835
step=68100 loss=0.0146 reverse_nll=0.2882 ESS=0.981 batch_outcomes=256 batch_topologies=256 seen=17403483
step=68125 loss=0.0264 reverse_nll=0.0013 ESS=0.969 batch_outcomes=256 batch_topologies=256 seen=17409148
step=68150 loss=0.0088 reverse_nll=0.0011 ESS=0.979 batch_outcomes=256 batch_topologies=256 seen=17414770
step=68175 loss=-0.0105 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17420373
step=68200 loss=-0.0078 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17426008
step=68225 loss=-0.0057 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17431659
step=68250 loss=-0.0065 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17437315
step=68275 loss=-0.0043 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17442918
step=68300 loss=0.0023 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17448488
step=68325 loss=0.0007 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17454091
step=68350 loss=-0.0012 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17459680
step=68375 loss=0.0624 reverse_nll=0.0253 ESS=0.949 batch_outcomes=256 batch_topologies=256 seen=17465204
step=68400 loss=0.0132 reverse_nll=0.0071 ESS=0.985 batch_outcomes=256 batch_topologies=256 seen=17470735
step=68425 loss=0.0417 reverse_nll=0.0092 ESS=0.955 batch_outcomes=256 batch_topologies=256 seen=17476184
step=68450 loss=-0.0158 reverse_nll=0.0007 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17481596
step=68475 loss=0.0110 reverse_nll=0.0009 ESS=0.978 batch_outcomes=256 batch_topologies=256 seen=17486982
step=68500 loss=-0.0154 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17492357
step=68525 loss=-0.0121 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17497716
step=68550 loss=-0.0096 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17503030
