step=00143 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00144 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00145 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00146 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00147 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00148 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00149 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00150 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00151 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00152 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00153 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00154 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00155 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00156 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00157 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00158 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00159 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00160 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00161 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00162 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00163 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00164 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00165 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00166 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00167 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00168 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00169 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00170 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00171 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00172 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00173 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00174 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00175 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00176 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00177 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00178 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00179 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00180 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00181 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00182 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00183 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00184 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00185 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00186 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00187 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00188 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00189 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00190 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00191 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00192 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00193 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00194 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00195 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00196 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00197 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00198 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00199 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
--- epoch=019 eval L1=2.0000 TV=1.0000 modes=0/4 peak_mass=0.0000
step=00200 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00201 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00202 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
